instructie,en,nl,af,sq,am,ar,hy,as,az,eu,bn,my,bs,bg,ca,zh,da,de,et,fo,fi,fr,gl,ka,el,gu,he,hi,hu,ga,is,id,it,ja,kn,kk,km,ko,hr,lo,lv,lt,mk,ms,ml,mr,mn,ne,no,uk,or,ug,uz,fa,pl,pt,pa,ro,ru,sr,si,sk,sl,es,sw,ta,te,th,bo,cs,tr,ur,vi,cy,be,zu,sv,catalog,key,variation
Vertaal deze tekst.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streef naar ± 1 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streef naar ± 12 tekens (UI-ruimte).,of the app,over de app,oor die app,e aplikacionit,ከመተግበሪያው,عن التطبيق,հավելվածի մասին,এপটোৰ,tətbiq haqqında,aplikazioari buruz,অ্যাপ সম্পর্কে,အက်ပ်အကြောင်း,o aplikaciji,за приложението,de l’app,应用相关,om appen,über die App,rakenduse kohta,um appina,sovelluksesta,de l’app,da aplicación,აპის შესახებ,της εφαρμογής,ઍપ વિશે,על האפליקציה,ऐप के बारे में,az alkalmazásról,den aip,um forritið,tentang aplikasi,dell’app,アプリの,ಆ್ಯಪ್ ಕುರಿತು,қолданба туралы,អំពីកម្មវិធី,앱 정보,aplikacije,ຂອງແອັບ,par lietotni,apie programėlę,за апликацијата,aplikasi,ആപ്പിനെക്കുറിച്ച്,अॅपबद्दल,аппын тухай,एपबारे,om appen,про застосунок,ଆପ୍‌ ବିଷୟରେ,ئەپ ھەققىدە,ilova haqida,دربارهٔ برنامه,aplikacji,da aplicação,ਐਪ ਬਾਰੇ,despre aplicație,о приложении,o aplikaciji,යෙදුම ගැන,o aplikácii,aplikacije,de la app,kuhusu programu,பயன்பாட்டைப் பற்றி,యాప్ గురించి,เกี่ยวกับแอป,ཉེར་སྤྱོད་ཀྱི་སྐོར,o aplikaci,uygulama hakkında,ایپ کے بارے میں,của ứng dụng,am yr ap,пра праграму,yohlelo lokusebenza,om appen,app,over de app,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 11 tekens (UI-ruimte).",Edit %@,%@ bewerken,%@ wysig,Ndrysho %@,%@ አርትዕ,تعديل %@,Խմբագրել %@,%@ সম্পাদনা কৰক,%@ redaktə et,Editatu %@,%@ সম্পাদনা করুন,%@ ကို တည်းဖြတ်ရန်,Uredi %@,Редактиране на %@,Edita %@,编辑 %@,Rediger %@,%@ bearbeiten,Muuda %@,Broyt %@,Muokkaa %@,Modifier %@,Editar %@,%@-ის რედაქტირება,Επεξεργασία %@,%@ સંપાદિત કરો,עריכת %@,%@ संपादित करें,%@ szerkesztése,Cuir %@ in eagar,Breyta %@,Edit %@,Modifica %@,%@を編集,%@ ಸಂಪಾದಿಸಿ,%@ өңдеу,កែសម្រួល %@,%@ 편집,Uredi %@,ແກ້ໄຂ %@,Rediģēt %@,Redaguoti %@,Уреди %@,Edit %@,%@ തിരുത്തുക,%@ संपादित करा,%@ засах,%@ सम्पादन गर्नुहोस्,Rediger %@,Редагувати %@,%@ ସମ୍ପାଦନା,%@ نى تەھرىرلەش,%@ni tahrirlash,ویرایش %@,Edytuj %@,Editar %@,%@ ਸੋਧੋ,Editează %@,Изменить %@,Uredi %@,%@ සංස්කරණය කරන්න,Upraviť %@,Uredi %@,Editar %@,Hariri %@,%@-ஐத் திருத்து,%@ను సవరించండి,แก้ไข %@,%@ རྩོམ་སྒྲིག,Upravit %@,%@ düzenle,%@ میں ترمیم کریں,Sửa %@,Golygu %@,Рэдагаваць %@,Hlela %@,Redigera %@,app,%@ bewerken,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %@ (%@ = tekst, %lld = getal). Niet vertalen. Behoud speciale tekens: ·. Streef naar ± 11 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).",%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,%1$@ · %2$@,app,%@ · %@,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %lld (%@ = tekst, %lld = getal). Niet vertalen. Behoud speciale tekens: ·. Streef naar ± 19 tekens (UI-ruimte).",%1$@ · %2$lld years,%1$@ · %2$lld jaar,%1$@ · %2$lld jaar,%1$@ · %2$lld vjeç,%1$@ · %2$lld ዓመት,%1$@ · %2$lld سنة,%1$@ · %2$lld տարի,%1$@ · %2$lld বছৰ,%1$@ · %2$lld il,%1$@ · %2$lld urte,%1$@ · %2$lld বছর,%1$@ · %2$lld နှစ်,%1$@ · %2$lld godina,%1$@ · %2$lld години,%1$@ · %2$lld anys,%1$@ · %2$lld 年,%1$@ · %2$lld år,%1$@ · %2$lld Jahre,%1$@ · %2$lld aastat,%1$@ · %2$lld ár,%1$@ · %2$lld vuotta,%1$@ · %2$lld ans,%1$@ · %2$lld anos,%1$@ · %2$lld წელი,%1$@ · %2$lld έτη,%1$@ · %2$lld વર્ષ,%1$@ · %2$lld שנים,%1$@ · %2$lld वर्ष,%1$@ · %2$lld év,%1$@ · %2$lld bliain,%1$@ · %2$lld ár,%1$@ · %2$lld tahun,%1$@ · %2$lld anni,%1$@ · %2$lld年,%1$@ · %2$lld ವರ್ಷ,%1$@ · %2$lld жыл,%1$@ · %2$lld ឆ្នាំ,%1$@ · %2$lld년,%1$@ · %2$lld godina,%1$@ · %2$lld ປີ,%1$@ · %2$lld gadi,%1$@ · %2$lld m.,%1$@ · %2$lld години,%1$@ · %2$lld tahun,%1$@ · %2$lld വർഷം,%1$@ · %2$lld वर्षे,%1$@ · %2$lld жил,%1$@ · %2$lld वर्ष,%1$@ · %2$lld år,%1$@ · %2$lld років,%1$@ · %2$lld ବର୍ଷ,%1$@ · %2$lld يىل,%1$@ · %2$lld yil,%1$@ · %2$lld سال,%1$@ · %2$lld lat,%1$@ · %2$lld anos,%1$@ · %2$lld ਸਾਲ,%1$@ · %2$lld ani,%1$@ · %2$lld лет,%1$@ · %2$lld godina,%1$@ · %2$lld වසර,%1$@ · %2$lld rokov,%1$@ · %2$lld let,%1$@ · %2$lld años,%1$@ · miaka %2$lld,%1$@ · %2$lld ஆண்டுகள்,%1$@ · %2$lld సంవత్సరాలు,%1$@ · %2$lld ปี,%1$@ · ལོ་ %2$lld,%1$@ · %2$lld let,%1$@ · %2$lld yıl,%1$@ · %2$lld سال,%1$@ · %2$lld năm,%1$@ · %2$lld blwyddyn,%1$@ · %2$lld г.,%1$@ · iminyaka engu-%2$lld,%1$@ · %2$lld år,app,%@ · %lld jaar,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %@ (%@ = tekst, %lld = getal). Niet vertalen. Behoud speciale tekens: —. Streef naar ± 11 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).",%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,%1$@ — %2$@,app,%@ — %@,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 8 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).",%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,%1$@%2$@,app,%@%@,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 10 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@",%1$@، %2$@,"%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@",%1$@、%2$@,"%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@",%1$@، %2$@,"%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@",%1$@، %2$@,"%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@","%1$@, %2$@",app,"%@, %@",
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@, %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 18 tekens (UI-ruimte).","%1$@, %2$lld items","%@, %lld items","%1$@, %2$lld items","%1$@, %2$lld artikuj","%1$@, %2$lld ንጥሎች",%1$@، %2$lld عنصرًا,"%1$@, %2$lld տարր","%1$@, %2$lldটা বস্তু","%1$@, %2$lld element","%1$@, %2$lld elementu","%1$@, %2$lldটি আইটেম","%@, %lld ခု","%1$@, %2$lld stavki","%1$@, %2$lld елемента","%1$@, %2$lld elements","%1$@, %2$lld 项","%1$@, %2$lld emner","%1$@, %2$lld Elemente","%1$@, %2$lld üksust","%1$@, %2$lld lutir","%1$@, %2$lld kohdetta","%1$@, %2$lld éléments","%1$@, %2$lld elementos","%1$@, %2$lld ელემენტი","%1$@, %2$lld στοιχεία","%1$@, %2$lld આઇટમ","%1$@, %2$lld פריטים","%1$@, %2$lld आइटम","%1$@, %2$lld elem","%1$@, %2$lld mír","%@, %lld atriði","%1$@, %2$lld item","%1$@, %2$lld elementi",%1$@、%2$lld件,"%1$@, %2$lld ಐಟಂಗಳು","%1$@, %2$lld элемент","%1$@, %2$lld ធាតុ","%1$@, %2$lld개","%1$@, %2$lld stavki","%1$@, %2$lld ລາຍການ","%1$@, %2$lld vienumi","%1$@, %2$lld elementai","%1$@, %2$lld ставки","%1$@, %2$lld item","%1$@, %2$lld ഇനങ്ങൾ","%1$@, %2$lld आयटम","%1$@, %2$lld зүйл","%1$@, %2$lld वस्तु","%1$@, %2$lld elementer","%1$@, %2$lld елементів","%1$@, %2$lldଟି ଆଇଟମ୍","%1$@, %2$lld تۈر","%@, %lld ta element",%1$@، %2$lld مورد,"%1$@, %2$lld elementów","%1$@, %2$lld itens","%1$@, %2$lld ਆਈਟਮਾਂ","%1$@, %2$lld elemente","%1$@, %2$lld элементов","%1$@, %2$lld stavki","%@, %lld අයිතම","%1$@, %2$lld položiek","%1$@, %2$lld elementov","%@, %lld elementos","%1$@, vipengee %2$lld","%1$@, %2$lld உருப்படிகள்","%1$@, %2$lld అంశాలు","%@, %lld รายการ","%1$@, རྣམ་གྲངས་ %2$lld","%1$@, %2$lld položek","%1$@, %2$lld öğe",%1$@، %2$lld آئٹمز,"%1$@, %2$lld mục","%1$@, %2$lld eitem","%1$@, %2$lld элементаў","%1$@, izinto ezingu-%2$lld","%1$@, %2$lld objekt",app,"%@, %lld items",
