catalog,key,comment,translation
app,,,
app, over de app,, of the app
app,%@ bewerken,,Edit %@
app,%@ · %@,,%1$@ · %2$@
app,%@ — %@,,%1$@ — %2$@
app,%@%@,,%1$@%2$@
app,"%@, %lld items",,"%1$@, %2$lld items"
app,"%@, taak verplaatsen",,"%@, move task"
app,%lld,,%lld
app,%lld afgerond,,%lld completed
app,%lld dagen,,
app,%lld dagen vooraf,,%lld days in advance
app,%lld graden,,%lld degrees
app,"%lld graden, afvinken",,"%lld degrees, check off"
app,"%lld graden, afvinken als afgerond",,"%lld degrees, mark as completed"
app,%lld in afgelopen 7 dagen,,%lld in the last 7 days
app,%lld open,,%lld open
app,%lld/%lld,,%1$lld/%2$lld
app,%llde,,%lldth
app,%lld°,,%lld°
app,0,,0
app,"0 = vandaag, 1 = morgen",,"0 = today, 1 = tomorrow"
app,1 jaar,,1 year
app,1 januari in week 1,,January 1 in week 1
app,1 open,,1 open
app,"1,5 jaar",,1.5 years
app,2 jaar,,2 years
app,2000,,2000
app,3 maanden,,3 months
app,6 maanden,,6 months
app,7,,7
app,9 maanden,,9 months
app,Aan de slag,,Get Started
app,Aangemaakt,,Created
app,Aantal,,Number
app,Aantal dagen vooraf,,Number of Days Before
app,Aantal weergeven,,Number to Show
app,Account,,Account
app,Actieknop,,Action Button
app,Actieknop configureren,,Configure Action Button
app,Acties voor %@,,Actions for %@
app,Add Item,,Add Item
app,Afgelopen 10 weken,,Last 10 Weeks
app,Afgelopen 12 maanden,,Last 12 Months
app,Afgelopen 7 dagen,,Last 7 Days
app,Afgerond,,Finished
app,Afgerond opschonen,,Clear completed items
app,Afgerond verwijderen?,,Delete Finished?
app,Afgeronde items downloaden als CSV,,Download completed items as CSV
app,Afgeronde items per dag over de afgelopen zeven dagen,,Completed items per day over the past seven days
app,Afgeronde items verschijnen hier automatisch en kun je altijd weer terugzetten.,,Completed items appear here automatically and can always be restored.
app,Afsnijden als het te lang is,,Truncate long text
app,Afvinken,,Mark as Done
app,Agenda,,Calendar
app,Agenda vooruit laden,,Load Calendar Ahead
app,Agenda-item,,Calendar item
app,Algemeen,,General
app,Alle afgeronde en verwijderde items worden definitief verwijderd. Dit kan niet ongedaan worden gemaakt.,,All finished and deleted items will be permanently deleted. This cannot be undone.
app,"Alle agenda-items, taken, herhalingen, afgeronde items en instellingen worden definitief verwijderd. De app start daarna alsof je hem voor het eerst hebt gedownload.",,"All calendar items, tasks, recurrences, finished items, and settings will be permanently deleted. The app will then start as if you downloaded it for the first time."
app,Alleen dit item,,Only this item
app,Alleen snel invoerveld,,Quick entry field only
app,Alleen vandaag,,Today only
app,Alles,,All
app,Alles bij de hand. Ook als je je telefoon verliest.,,"Keep everything close at hand, even if you lose your phone."
app,"Alles wat je niet wilt vergeten, op één plek.",,"Everything you don't want to forget, in one place."
app,Alles wat past,,All that fits
app,"Als je apparaat kwijt raakt, zijn je gegevens niet terug te halen.",,"If you lose your device, your data cannot be recovered."
app,Andere datum in agenda...,,Different date
